time 02h 51m 20s, episodes 16206, frames 11565477, run epr 58.81, run loss -11.89
time 02h 52m 43s, episodes 16263, frames 11658121, run epr 58.43, run loss -5.90
time 02h 53m 46s, episodes 16309, frames 11729513, run epr 57.98, run loss -7.92
time 02h 55m 05s, episodes 16361, frames 11818704, run epr 58.24, run loss -8.06
time 02h 56m 20s, episodes 16418, frames 11903706, run epr 56.70, run loss -8.15

	step 12000000: saved model

time 02h 57m 52s, episodes 16477, frames 12007130, run epr 58.60, run loss -6.52
time 02h 58m 54s, episodes 16516, frames 12077276, run epr 69.41, run loss -1.19
time 03h 00m 19s, episodes 16575, frames 12172974, run epr 68.04, run loss -2.18
time 03h 01m 20s, episodes 16614, frames 12241516, run epr 66.19, run loss -4.96
time 03h 02m 23s, episodes 16658, frames 12311489, run epr 61.85, run loss -6.66
time 03h 03m 47s, episodes 16715, frames 12405836, run epr 59.78, run loss -8.10
time 03h 04m 51s, episodes 16754, frames 12477755, run epr 68.66, run loss -1.20
time 03h 06m 07s, episodes 16807, frames 12563657, run epr 65.05, run loss -5.54
time 03h 07m 08s, episodes 16846, frames 12632886, run epr 67.81, run loss -0.50
time 03h 08m 30s, episodes 16901, frames 12726409, run epr 72.37, run loss 2.74
time 03h 09m 32s, episodes 16943, frames 12797011, run epr 66.73, run loss -3.11
time 03h 10m 41s, episodes 16989, frames 12875085, run epr 70.87, run loss 2.70
time 03h 12m 10s, episodes 17046, frames 12975739, run epr 70.95, run loss 0.36
time 03h 13m 10s, episodes 17087, frames 13044923, run epr 68.93, run loss -4.18
time 03h 14m 37s, episodes 17142, frames 13142645, run epr 65.79, run loss -6.33
time 03h 16m 03s, episodes 17199, frames 13240172, run epr 63.04, run loss -6.37
time 03h 17m 10s, episodes 17247, frames 13316114, run epr 64.32, run loss -6.59
time 03h 18m 40s, episodes 17300, frames 13416636, run epr 67.80, run loss -4.90
time 03h 19m 46s, episodes 17350, frames 13491513, run epr 64.41, run loss -5.66
time 03h 20m 52s, episodes 17397, frames 13566417, run epr 67.17, run loss -0.21
time 03h 22m 20s, episodes 17455, frames 13665637, run epr 68.31, run loss 1.02
time 03h 23m 25s, episodes 17495, frames 13739523, run epr 71.25, run loss 4.95
time 03h 24m 29s, episodes 17539, frames 13811745, run epr 72.34, run loss 5.32
time 03h 25m 55s, episodes 17595, frames 13909114, run epr 76.97, run loss 5.97
time 03h 26m 57s, episodes 17636, frames 13979043, run epr 74.61, run loss 4.02

	step 14000000: saved model

time 03h 27m 58s, episodes 17679, frames 14049682, run epr 73.16, run loss 1.73
time 03h 29m 04s, episodes 17722, frames 14125087, run epr 68.35, run loss -4.44
time 03h 30m 06s, episodes 17763, frames 14195895, run epr 67.66, run loss -6.01
time 03h 31m 11s, episodes 17806, frames 14269188, run epr 69.39, run loss -3.87
time 03h 32m 18s, episodes 17850, frames 14345048, run epr 70.27, run loss -4.71
time 03h 33m 55s, episodes 17911, frames 14454457, run epr 69.47, run loss -2.25
time 03h 35m 36s, episodes 17977, frames 14569316, run epr 78.33, run loss 4.26
time 03h 36m 36s, episodes 18016, frames 14637738, run epr 77.84, run loss 2.45
time 03h 37m 52s, episodes 18066, frames 14725158, run epr 68.23, run loss -4.47
time 03h 39m 20s, episodes 18123, frames 14825131, run epr 71.64, run loss -5.35
time 03h 40m 45s, episodes 18178, frames 14922757, run epr 74.16, run loss -3.00
time 03h 41m 54s, episodes 18219, frames 15001171, run epr 72.70, run loss -5.67
time 03h 42m 57s, episodes 18262, frames 15073304, run epr 73.41, run loss -3.13
time 03h 44m 30s, episodes 18323, frames 15180296, run epr 72.97, run loss -2.22
time 03h 45m 36s, episodes 18362, frames 15255151, run epr 75.76, run loss -4.62
time 03h 47m 08s, episodes 18421, frames 15359816, run epr 75.02, run loss -3.61
time 03h 48m 36s, episodes 18480, frames 15460575, run epr 70.16, run loss -3.90
time 03h 49m 41s, episodes 18522, frames 15534241, run epr 71.79, run loss 0.75
time 03h 50m 57s, episodes 18572, frames 15620709, run epr 71.92, run loss 1.00
time 03h 52m 07s, episodes 18619, frames 15700649, run epr 81.76, run loss 7.35
time 03h 53m 14s, episodes 18661, frames 15776770, run epr 76.60, run loss 0.79
time 03h 54m 38s, episodes 18718, frames 15872721, run epr 72.34, run loss -4.02
time 03h 56m 09s, episodes 18775, frames 15977059, run epr 74.17, run loss -1.75

	step 16000000: saved model

time 03h 57m 21s, episodes 18825, frames 16059175, run epr 74.62, run loss 1.56
time 03h 58m 23s, episodes 18868, frames 16130483, run epr 70.02, run loss 0.15
time 03h 59m 25s, episodes 18905, frames 16200522, run epr 81.37, run loss 15.13
time 04h 00m 58s, episodes 18969, frames 16307338, run epr 72.43, run loss 0.83
time 04h 02m 06s, episodes 19016, frames 16384478, run epr 68.86, run loss -5.03
time 04h 03m 10s, episodes 19055, frames 16456284, run epr 80.72, run loss 9.37
time 04h 04m 14s, episodes 19096, frames 16529216, run epr 81.39, run loss 5.10
time 04h 05m 16s, episodes 19134, frames 16599712, run epr 76.87, run loss -2.84
time 04h 06m 45s, episodes 19192, frames 16700031, run epr 76.05, run loss 7.04
time 04h 08m 05s, episodes 19247, frames 16791120, run epr 77.88, run loss 11.52
time 04h 09m 16s, episodes 19291, frames 16871888, run epr 84.04, run loss 10.07
time 04h 10m 55s, episodes 19355, frames 16984938, run epr 80.99, run loss 3.38
time 04h 11m 56s, episodes 19392, frames 17054642, run epr 79.03, run loss 0.58
time 04h 13m 23s, episodes 19445, frames 17153133, run epr 80.92, run loss -1.90
time 04h 14m 35s, episodes 19488, frames 17233344, run epr 78.56, run loss 0.37
time 04h 15m 46s, episodes 19536, frames 17314275, run epr 80.27, run loss -1.77
time 04h 17m 01s, episodes 19581, frames 17400727, run epr 87.22, run loss 2.31
time 04h 18m 09s, episodes 19627, frames 17478128, run epr 83.86, run loss 8.03
time 04h 19m 19s, episodes 19670, frames 17557383, run epr 78.93, run loss -0.69
time 04h 20m 19s, episodes 19706, frames 17625866, run epr 79.02, run loss -0.32
time 04h 21m 22s, episodes 19748, frames 17696967, run epr 83.25, run loss 2.07
time 04h 22m 32s, episodes 19789, frames 17776751, run epr 86.52, run loss 0.58
time 04h 23m 45s, episodes 19833, frames 17859654, run epr 88.34, run loss 5.70
time 04h 24m 58s, episodes 19877, frames 17942447, run epr 83.66, run loss 1.17

	step 18000000: saved model

time 04h 26m 12s, episodes 19924, frames 18026472, run epr 84.89, run loss 1.73
time 04h 27m 15s, episodes 19958, frames 18097336, run epr 94.25, run loss 15.04
time 04h 28m 27s, episodes 20005, frames 18179425, run epr 97.06, run loss 16.06
time 04h 29m 43s, episodes 20052, frames 18264972, run epr 91.88, run loss 13.02
time 04h 31m 12s, episodes 20105, frames 18365792, run epr 92.98, run loss 11.09
time 04h 32m 28s, episodes 20154, frames 18451635, run epr 93.04, run loss 12.66
time 04h 33m 32s, episodes 20194, frames 18523540, run epr 83.08, run loss 1.64
time 04h 34m 36s, episodes 20236, frames 18596964, run epr 90.50, run loss 17.49
time 04h 35m 39s, episodes 20278, frames 18667978, run epr 83.55, run loss 10.85
time 04h 36m 42s, episodes 20318, frames 18739790, run epr 79.97, run loss 10.37
time 04h 37m 54s, episodes 20366, frames 18821776, run epr 83.35, run loss 7.09
time 04h 39m 21s, episodes 20423, frames 18920335, run epr 87.97, run loss 18.08
time 04h 40m 49s, episodes 20479, frames 19019826, run epr 74.59, run loss 0.29
time 04h 41m 53s, episodes 20520, frames 19092716, run epr 79.71, run loss 6.10
time 04h 43m 21s, episodes 20576, frames 19191804, run epr 81.08, run loss 0.28
time 04h 44m 57s, episodes 20638, frames 19300732, run epr 82.73, run loss -1.79
time 04h 45m 58s, episodes 20674, frames 19370930, run epr 87.06, run loss 13.66
time 04h 47m 21s, episodes 20729, frames 19465623, run epr 79.05, run loss 9.72
time 04h 48m 41s, episodes 20779, frames 19555860, run epr 87.66, run loss 12.88
time 04h 50m 00s, episodes 20828, frames 19645691, run epr 83.55, run loss 8.46
time 04h 51m 13s, episodes 20874, frames 19729612, run epr 92.07, run loss 28.29
time 04h 52m 23s, episodes 20916, frames 19809971, run epr 91.87, run loss 18.31
time 04h 53m 28s, episodes 20955, frames 19883539, run epr 84.20, run loss 3.51
time 04h 54m 47s, episodes 21007, frames 19973213, run epr 89.35, run loss 3.40

	step 20000000: saved model

time 04h 55m 56s, episodes 21047, frames 20052129, run epr 93.35, run loss 2.59
time 04h 57m 15s, episodes 21094, frames 20141414, run epr 100.37, run loss 18.28
time 04h 58m 34s, episodes 21148, frames 20231524, run epr 88.09, run loss 8.64
time 04h 59m 42s, episodes 21188, frames 20308558, run epr 87.36, run loss 4.69
time 05h 00m 44s, episodes 21227, frames 20379141, run epr 86.75, run loss 9.59
time 05h 01m 45s, episodes 21266, frames 20448891, run epr 87.11, run loss 6.06
time 05h 02m 53s, episodes 21306, frames 20523617, run epr 88.23, run loss 3.80
time 05h 03m 56s, episodes 21341, frames 20594058, run epr 90.95, run loss 10.03
time 05h 05m 06s, episodes 21387, frames 20673685, run epr 89.95, run loss 5.80
time 05h 06m 13s, episodes 21426, frames 20748136, run epr 99.18, run loss 20.16
time 05h 07m 19s, episodes 21463, frames 20822257, run epr 102.02, run loss 28.04
time 05h 08m 30s, episodes 21506, frames 20901892, run epr 98.42, run loss 10.46
time 05h 09m 57s, episodes 21561, frames 21000218, run epr 95.48, run loss 12.56
time 05h 11m 24s, episodes 21613, frames 21098218, run epr 106.58, run loss 26.90
time 05h 12m 39s, episodes 21655, frames 21182852, run epr 99.90, run loss 6.15
time 05h 14m 07s, episodes 21709, frames 21283101, run epr 102.86, run loss 17.50
time 05h 15m 13s, episodes 21749, frames 21357322, run epr 96.53, run loss 7.58
time 05h 16m 18s, episodes 21787, frames 21431827, run epr 94.54, run loss 6.60
time 05h 17m 42s, episodes 21839, frames 21527639, run epr 96.17, run loss 9.56
time 05h 18m 53s, episodes 21881, frames 21608699, run epr 95.40, run loss 13.80
time 05h 20m 02s, episodes 21926, frames 21686091, run epr 93.28, run loss 6.10
time 05h 21m 04s, episodes 21963, frames 21756228, run epr 98.05, run loss 19.65
time 05h 22m 35s, episodes 22018, frames 21860009, run epr 101.96, run loss 10.56
time 05h 23m 56s, episodes 22071, frames 21951402, run epr 90.36, run loss 10.49

	step 22000000: saved model

time 05h 25m 01s, episodes 22110, frames 22025648, run epr 93.34, run loss 10.16
time 05h 26m 37s, episodes 22168, frames 22133893, run epr 113.87, run loss 46.28
time 05h 27m 43s, episodes 22205, frames 22208787, run epr 107.84, run loss 36.46
time 05h 28m 50s, episodes 22246, frames 22284876, run epr 107.06, run loss 23.28
time 05h 30m 01s, episodes 22287, frames 22365597, run epr 96.51, run loss 14.31
time 05h 31m 14s, episodes 22331, frames 22447726, run epr 96.70, run loss 11.43
time 05h 32m 38s, episodes 22386, frames 22542557, run epr 97.29, run loss 18.18
time 05h 33m 41s, episodes 22426, frames 22613470, run epr 96.80, run loss 27.28
time 05h 34m 49s, episodes 22468, frames 22689620, run epr 95.66, run loss 22.69
time 05h 35m 53s, episodes 22506, frames 22762651, run epr 101.72, run loss 35.02
time 05h 37m 01s, episodes 22547, frames 22839935, run epr 103.36, run loss 30.14
time 05h 38m 20s, episodes 22592, frames 22928633, run epr 105.20, run loss 19.09
time 05h 39m 25s, episodes 22635, frames 23002597, run epr 98.09, run loss 13.83
time 05h 40m 38s, episodes 22677, frames 23085189, run epr 107.70, run loss 29.15
time 05h 41m 51s, episodes 22721, frames 23168069, run epr 108.73, run loss 40.93
time 05h 42m 59s, episodes 22761, frames 23245043, run epr 113.89, run loss 46.00
time 05h 44m 08s, episodes 22804, frames 23324043, run epr 99.65, run loss 19.58
time 05h 45m 18s, episodes 22847, frames 23403598, run epr 108.90, run loss 30.81
