time 04h 33m 00s, episodes 12989, frames 11193208, run epr 544.76, run loss 453.18
time 04h 34m 02s, episodes 13045, frames 11239433, run epr 549.38, run loss 413.78
time 04h 35m 14s, episodes 13104, frames 11293611, run epr 594.98, run loss 429.43
time 04h 36m 23s, episodes 13159, frames 11345613, run epr 650.99, run loss 440.58
time 04h 37m 31s, episodes 13222, frames 11396422, run epr 556.09, run loss 437.68
time 04h 38m 51s, episodes 13292, frames 11456813, run epr 528.43, run loss 385.40
time 04h 40m 10s, episodes 13361, frames 11515854, run epr 525.30, run loss 386.32
time 04h 41m 14s, episodes 13419, frames 11564172, run epr 517.43, run loss 403.94
time 04h 42m 16s, episodes 13475, frames 11610899, run epr 522.89, run loss 437.79
time 04h 43m 30s, episodes 13537, frames 11666138, run epr 521.46, run loss 400.62
time 04h 44m 48s, episodes 13605, frames 11725221, run epr 526.66, run loss 408.87
time 04h 46m 05s, episodes 13672, frames 11779955, run epr 567.92, run loss 390.07
time 04h 47m 13s, episodes 13729, frames 11830997, run epr 577.57, run loss 433.18
time 04h 48m 21s, episodes 13791, frames 11882255, run epr 495.05, run loss 390.87
time 04h 49m 38s, episodes 13855, frames 11939894, run epr 551.64, run loss 456.99

	step 12000000: saved model

time 04h 51m 00s, episodes 13930, frames 12001726, run epr 565.72, run loss 449.87
time 04h 52m 12s, episodes 13997, frames 12058633, run epr 556.12, run loss 425.28
time 04h 53m 30s, episodes 14066, frames 12120397, run epr 622.89, run loss 458.34
time 04h 54m 31s, episodes 14125, frames 12169576, run epr 577.96, run loss 388.16
time 04h 55m 40s, episodes 14192, frames 12225085, run epr 593.52, run loss 400.97
time 04h 57m 03s, episodes 14269, frames 12291647, run epr 534.10, run loss 374.08
time 04h 58m 14s, episodes 14336, frames 12348614, run epr 568.88, run loss 425.37
time 04h 59m 27s, episodes 14405, frames 12405429, run epr 535.67, run loss 383.20
time 05h 00m 35s, episodes 14467, frames 12459408, run epr 564.39, run loss 421.52
time 05h 01m 51s, episodes 14529, frames 12515120, run epr 534.02, run loss 388.08
time 05h 02m 58s, episodes 14588, frames 12567321, run epr 576.36, run loss 420.68
time 05h 04m 00s, episodes 14642, frames 12614639, run epr 556.29, run loss 392.02
time 05h 05m 21s, episodes 14715, frames 12677246, run epr 553.53, run loss 416.02
time 05h 06m 28s, episodes 14776, frames 12730151, run epr 557.78, run loss 429.52
time 05h 07m 35s, episodes 14836, frames 12783806, run epr 549.59, run loss 417.56
time 05h 08m 52s, episodes 14904, frames 12843844, run epr 573.02, run loss 398.33
time 05h 09m 57s, episodes 14961, frames 12894966, run epr 585.94, run loss 424.19
time 05h 11m 02s, episodes 15022, frames 12946450, run epr 651.47, run loss 393.78
time 05h 12m 07s, episodes 15079, frames 12997319, run epr 598.37, run loss 415.48
time 05h 13m 22s, episodes 15144, frames 13056451, run epr 674.15, run loss 477.85
time 05h 14m 26s, episodes 15204, frames 13105966, run epr 620.91, run loss 405.79
time 05h 15m 47s, episodes 15272, frames 13166889, run epr 586.12, run loss 394.79
time 05h 16m 56s, episodes 15330, frames 13218135, run epr 546.58, run loss 353.33
time 05h 18m 12s, episodes 15398, frames 13276577, run epr 589.14, run loss 463.93
time 05h 19m 16s, episodes 15455, frames 13325086, run epr 587.69, run loss 400.10
time 05h 20m 24s, episodes 15511, frames 13376336, run epr 617.19, run loss 396.50
time 05h 21m 34s, episodes 15571, frames 13429501, run epr 572.85, run loss 418.27
time 05h 22m 56s, episodes 15644, frames 13491975, run epr 566.89, run loss 369.32
time 05h 24m 02s, episodes 15700, frames 13540756, run epr 547.95, run loss 367.29
time 05h 25m 15s, episodes 15764, frames 13595441, run epr 528.48, run loss 386.06
time 05h 26m 23s, episodes 15825, frames 13645868, run epr 559.55, run loss 371.70
time 05h 27m 32s, episodes 15877, frames 13696360, run epr 578.54, run loss 375.92
time 05h 28m 51s, episodes 15950, frames 13755249, run epr 538.09, run loss 388.64
time 05h 29m 59s, episodes 16004, frames 13802860, run epr 513.04, run loss 386.03
time 05h 31m 14s, episodes 16068, frames 13857461, run epr 511.07, run loss 363.95
time 05h 32m 25s, episodes 16128, frames 13908926, run epr 610.91, run loss 402.77
time 05h 33m 30s, episodes 16178, frames 13953159, run epr 619.45, run loss 391.97

	step 14000000: saved model

time 05h 34m 43s, episodes 16233, frames 14002527, run epr 612.19, run loss 380.38
time 05h 36m 01s, episodes 16298, frames 14055854, run epr 587.17, run loss 399.80
time 05h 37m 11s, episodes 16352, frames 14104400, run epr 594.53, run loss 405.10
time 05h 38m 23s, episodes 16410, frames 14153657, run epr 599.11, run loss 429.50
time 05h 39m 35s, episodes 16467, frames 14203169, run epr 590.61, run loss 372.41
time 05h 40m 47s, episodes 16525, frames 14252878, run epr 545.99, run loss 380.65
time 05h 42m 07s, episodes 16585, frames 14308088, run epr 557.47, run loss 423.97
time 05h 43m 09s, episodes 16633, frames 14351011, run epr 608.03, run loss 415.73
time 05h 44m 24s, episodes 16696, frames 14403062, run epr 563.61, run loss 400.25
time 05h 45m 47s, episodes 16756, frames 14456372, run epr 597.26, run loss 444.22
