
time 02h 37m 18s, episodes 12374, frames 9.7M, run epr 385.54, run loss 40.70
time 02h 38m 20s, episodes 12448, frames 9.7M, run epr 394.67, run loss 44.22
time 02h 39m 27s, episodes 12519, frames 9.8M, run epr 412.18, run loss 47.29
time 02h 40m 30s, episodes 12603, frames 9.9M, run epr 357.85, run loss 40.74
time 02h 41m 54s, episodes 12694, frames 10.0M, run epr 369.52, run loss 41.94

	10M frames: saved model

time 02h 43m 06s, episodes 12775, frames 10.0M, run epr 396.16, run loss 49.47
time 02h 44m 07s, episodes 12845, frames 10.1M, run epr 394.93, run loss 45.51
time 02h 45m 09s, episodes 12921, frames 10.2M, run epr 383.37, run loss 39.24
time 02h 46m 16s, episodes 12992, frames 10.2M, run epr 402.86, run loss 40.69
time 02h 47m 27s, episodes 13077, frames 10.3M, run epr 396.06, run loss 37.63
time 02h 48m 28s, episodes 13149, frames 10.4M, run epr 396.08, run loss 38.76
time 02h 49m 40s, episodes 13229, frames 10.4M, run epr 398.06, run loss 38.47
time 02h 50m 46s, episodes 13310, frames 10.5M, run epr 390.95, run loss 41.10
time 02h 52m 00s, episodes 13393, frames 10.6M, run epr 398.49, run loss 40.76
time 02h 53m 16s, episodes 13477, frames 10.6M, run epr 420.76, run loss 45.52
time 02h 54m 25s, episodes 13557, frames 10.7M, run epr 402.15, run loss 41.40
time 02h 55m 37s, episodes 13641, frames 10.8M, run epr 411.05, run loss 41.25
time 02h 56m 42s, episodes 13715, frames 10.9M, run epr 404.24, run loss 32.51
time 02h 57m 44s, episodes 13790, frames 10.9M, run epr 395.92, run loss 35.38
time 02h 58m 53s, episodes 13870, frames 11.0M, run epr 402.04, run loss 39.49
time 03h 00m 00s, episodes 13952, frames 11.1M, run epr 403.40, run loss 42.18
time 03h 01m 12s, episodes 14038, frames 11.1M, run epr 401.37, run loss 41.17
time 03h 02m 13s, episodes 14108, frames 11.2M, run epr 402.37, run loss 40.56
time 03h 03m 16s, episodes 14177, frames 11.3M, run epr 405.14, run loss 37.86
time 03h 04m 28s, episodes 14264, frames 11.3M, run epr 397.11, run loss 37.38
time 03h 05m 38s, episodes 14346, frames 11.4M, run epr 417.79, run loss 42.59
time 03h 06m 46s, episodes 14415, frames 11.5M, run epr 427.38, run loss 38.89
time 03h 07m 50s, episodes 14489, frames 11.5M, run epr 413.49, run loss 39.30
time 03h 08m 53s, episodes 14570, frames 11.6M, run epr 391.71, run loss 39.14
time 03h 09m 57s, episodes 14649, frames 11.7M, run epr 384.42, run loss 35.66
time 03h 11m 06s, episodes 14728, frames 11.7M, run epr 403.03, run loss 42.87
time 03h 12m 24s, episodes 14818, frames 11.8M, run epr 409.41, run loss 44.52
time 03h 13m 32s, episodes 14897, frames 11.9M, run epr 412.29, run loss 49.88
time 03h 14m 36s, episodes 14972, frames 11.9M, run epr 405.14, run loss 46.65

	12M frames: saved model

time 03h 15m 52s, episodes 15059, frames 12.0M, run epr 397.99, run loss 45.49
time 03h 16m 53s, episodes 15131, frames 12.1M, run epr 410.62, run loss 44.88
