
time 03h 40m 14s, episodes 6428, frames 17.7M, mean epr 17.04, run loss -44.91
time 03h 41m 15s, episodes 6460, frames 17.7M, mean epr 17.18, run loss -45.35
time 03h 42m 15s, episodes 6494, frames 17.8M, mean epr 17.28, run loss -45.25
time 03h 43m 15s, episodes 6524, frames 17.9M, mean epr 17.59, run loss -43.22
time 03h 44m 15s, episodes 6557, frames 18.0M, mean epr 17.61, run loss -41.79

	18M frames: saved model

time 03h 45m 15s, episodes 6586, frames 18.1M, mean epr 17.62, run loss -42.64
time 03h 46m 15s, episodes 6617, frames 18.2M, mean epr 17.62, run loss -44.14
time 03h 47m 15s, episodes 6648, frames 18.2M, mean epr 17.66, run loss -43.34
time 03h 48m 15s, episodes 6682, frames 18.3M, mean epr 17.88, run loss -41.57
time 03h 49m 15s, episodes 6711, frames 18.4M, mean epr 17.72, run loss -43.91
time 03h 50m 15s, episodes 6746, frames 18.5M, mean epr 17.70, run loss -42.81
time 03h 51m 15s, episodes 6774, frames 18.6M, mean epr 17.85, run loss -42.43
time 03h 52m 15s, episodes 6808, frames 18.7M, mean epr 17.74, run loss -44.39
time 03h 53m 15s, episodes 6835, frames 18.7M, mean epr 17.51, run loss -46.87
time 03h 54m 15s, episodes 6868, frames 18.8M, mean epr 17.69, run loss -46.24
time 03h 55m 15s, episodes 6901, frames 18.9M, mean epr 17.79, run loss -43.87
time 03h 56m 15s, episodes 6928, frames 19.0M, mean epr 17.68, run loss -45.38
time 03h 57m 15s, episodes 6963, frames 19.1M, mean epr 17.82, run loss -43.40
time 03h 58m 16s, episodes 6994, frames 19.1M, mean epr 17.77, run loss -43.36
time 03h 59m 16s, episodes 7023, frames 19.2M, mean epr 17.70, run loss -44.75
time 04h 00m 16s, episodes 7056, frames 19.3M, mean epr 17.52, run loss -45.88
time 04h 01m 16s, episodes 7085, frames 19.4M, mean epr 17.51, run loss -46.55
time 04h 02m 16s, episodes 7117, frames 19.5M, mean epr 17.70, run loss -45.25
time 04h 03m 16s, episodes 7147, frames 19.6M, mean epr 17.63, run loss -45.12
time 04h 04m 16s, episodes 7179, frames 19.6M, mean epr 17.55, run loss -45.26
time 04h 05m 16s, episodes 7211, frames 19.7M, mean epr 17.83, run loss -43.64
time 04h 06m 16s, episodes 7244, frames 19.8M, mean epr 17.92, run loss -43.65
time 04h 07m 16s, episodes 7274, frames 19.9M, mean epr 18.12, run loss -44.20
time 04h 08m 16s, episodes 7308, frames 20.0M, mean epr 18.22, run loss -43.22

	20M frames: saved model

time 04h 09m 16s, episodes 7340, frames 20.1M, mean epr 18.06, run loss -44.14
time 04h 10m 16s, episodes 7370, frames 20.1M, mean epr 18.07, run loss -42.67
time 04h 11m 16s, episodes 7402, frames 20.2M, mean epr 17.91, run loss -43.25
time 04h 12m 16s, episodes 7433, frames 20.3M, mean epr 18.05, run loss -43.17
time 04h 13m 16s, episodes 7465, frames 20.4M, mean epr 17.91, run loss -44.51
time 04h 14m 16s, episodes 7495, frames 20.5M, mean epr 18.02, run loss -42.21
time 04h 15m 16s, episodes 7526, frames 20.6M, mean epr 18.07, run loss -42.63
time 04h 16m 16s, episodes 7560, frames 20.6M, mean epr 17.95, run loss -42.32
time 04h 17m 16s, episodes 7592, frames 20.7M, mean epr 17.83, run loss -43.78
time 04h 18m 16s, episodes 7627, frames 20.8M, mean epr 17.85, run loss -42.72
time 04h 19m 17s, episodes 7655, frames 20.9M, mean epr 18.06, run loss -42.16
time 04h 20m 17s, episodes 7692, frames 21.0M, mean epr 17.99, run loss -42.57
time 04h 21m 17s, episodes 7720, frames 21.1M, mean epr 18.00, run loss -42.10
time 04h 22m 17s, episodes 7752, frames 21.1M, mean epr 18.09, run loss -42.48
time 04h 23m 17s, episodes 7788, frames 21.2M, mean epr 18.15, run loss -43.49
time 04h 24m 17s, episodes 7818, frames 21.3M, mean epr 18.24, run loss -42.14
time 04h 25m 17s, episodes 7851, frames 21.4M, mean epr 18.19, run loss -43.47
time 04h 26m 17s, episodes 7881, frames 21.5M, mean epr 18.24, run loss -42.77
time 04h 27m 17s, episodes 7912, frames 21.5M, mean epr 18.17, run loss -42.61
time 04h 28m 17s, episodes 7944, frames 21.6M, mean epr 18.24, run loss -41.96
time 04h 29m 17s, episodes 7977, frames 21.7M, mean epr 18.37, run loss -40.74
time 04h 30m 17s, episodes 8009, frames 21.8M, mean epr 18.49, run loss -40.76
time 04h 31m 17s, episodes 8041, frames 21.9M, mean epr 18.36, run loss -42.20
time 04h 32m 17s, episodes 8075, frames 22.0M, mean epr 18.30, run loss -41.68

	22M frames: saved model

time 04h 33m 17s, episodes 8108, frames 22.0M, mean epr 18.38, run loss -40.14
time 04h 34m 17s, episodes 8139, frames 22.1M, mean epr 18.34, run loss -40.38
time 04h 35m 17s, episodes 8169, frames 22.2M, mean epr 18.07, run loss -41.55
time 04h 36m 17s, episodes 8201, frames 22.3M, mean epr 17.90, run loss -42.80
time 04h 37m 17s, episodes 8232, frames 22.4M, mean epr 17.97, run loss -43.99
time 04h 38m 17s, episodes 8263, frames 22.5M, mean epr 18.09, run loss -42.78
time 04h 39m 18s, episodes 8297, frames 22.5M, mean epr 18.09, run loss -43.96
time 04h 40m 18s, episodes 8327, frames 22.6M, mean epr 17.98, run loss -42.56
time 04h 41m 18s, episodes 8359, frames 22.7M, mean epr 18.03, run loss -42.28
time 04h 42m 18s, episodes 8388, frames 22.8M, mean epr 17.77, run loss -44.30
time 04h 43m 18s, episodes 8421, frames 22.9M, mean epr 17.93, run loss -42.74
time 04h 44m 18s, episodes 8454, frames 23.0M, mean epr 17.82, run loss -43.12
time 04h 45m 18s, episodes 8484, frames 23.0M, mean epr 17.75, run loss -44.65
time 04h 46m 18s, episodes 8518, frames 23.1M, mean epr 17.88, run loss -43.73
time 04h 47m 18s, episodes 8547, frames 23.2M, mean epr 18.06, run loss -43.50
time 04h 48m 18s, episodes 8581, frames 23.3M, mean epr 18.02, run loss -42.42
time 04h 49m 18s, episodes 8608, frames 23.4M, mean epr 17.96, run loss -42.38
time 04h 50m 18s, episodes 8641, frames 23.4M, mean epr 17.42, run loss -44.19
