
time 02h 36m 11s, episodes 13865, frames 11.5M, mean epr 406.56, run loss 66.64
time 02h 37m 11s, episodes 13937, frames 11.5M, mean epr 413.87, run loss 67.91
time 02h 38m 11s, episodes 14010, frames 11.6M, mean epr 413.85, run loss 67.81
time 02h 39m 11s, episodes 14091, frames 11.7M, mean epr 419.75, run loss 73.59
time 02h 40m 11s, episodes 14175, frames 11.7M, mean epr 388.69, run loss 64.53
time 02h 41m 11s, episodes 14236, frames 11.8M, mean epr 394.92, run loss 62.57
time 02h 42m 11s, episodes 14324, frames 11.9M, mean epr 392.61, run loss 57.40
time 02h 43m 11s, episodes 14412, frames 11.9M, mean epr 353.39, run loss 59.23

	12M frames: saved model

time 02h 44m 11s, episodes 14495, frames 12.0M, mean epr 369.43, run loss 66.27
time 02h 45m 11s, episodes 14565, frames 12.1M, mean epr 383.68, run loss 67.09
time 02h 46m 11s, episodes 14624, frames 12.1M, mean epr 402.94, run loss 71.13
time 02h 47m 11s, episodes 14681, frames 12.2M, mean epr 387.51, run loss 69.22
time 02h 48m 11s, episodes 14734, frames 12.2M, mean epr 399.64, run loss 76.82
time 02h 49m 11s, episodes 14778, frames 12.3M, mean epr 414.86, run loss 76.76
time 02h 50m 11s, episodes 14822, frames 12.3M, mean epr 419.36, run loss 74.63
time 02h 51m 11s, episodes 14884, frames 12.3M, mean epr 411.33, run loss 71.28
time 02h 52m 11s, episodes 14944, frames 12.4M, mean epr 399.79, run loss 64.84
time 02h 53m 12s, episodes 15003, frames 12.4M, mean epr 393.93, run loss 67.69
time 02h 54m 12s, episodes 15048, frames 12.5M, mean epr 395.55, run loss 71.86
time 02h 55m 12s, episodes 15103, frames 12.5M, mean epr 392.95, run loss 72.65
time 02h 56m 12s, episodes 15163, frames 12.6M, mean epr 392.05, run loss 73.11
time 02h 57m 12s, episodes 15224, frames 12.6M, mean epr 356.84, run loss 64.76
time 02h 58m 12s, episodes 15308, frames 12.7M, mean epr 385.48, run loss 68.08
time 02h 59m 12s, episodes 15389, frames 12.8M, mean epr 387.64, run loss 61.96
time 03h 00m 12s, episodes 15477, frames 12.9M, mean epr 384.33, run loss 64.61
time 03h 01m 12s, episodes 15549, frames 12.9M, mean epr 392.84, run loss 67.53
time 03h 02m 13s, episodes 15604, frames 13.0M, mean epr 415.54, run loss 72.41
time 03h 03m 13s, episodes 15662, frames 13.0M, mean epr 415.50, run loss 69.11
time 03h 04m 13s, episodes 15716, frames 13.1M, mean epr 406.36, run loss 67.35
time 03h 05m 13s, episodes 15763, frames 13.1M, mean epr 397.27, run loss 66.80
